ID,Kawasan,presisi,skor_cocok,sumber_koordinat,lat,lon,Nama atau alamat kos,ID ruas terkait,Harga median (Rp),nama_ruas,harga
KOS-001,KWS-06,nama_kos,0.857,Jalan Kaliurang,-7.684617776661116,110.40407749491366,"Kos Nawangsari (Candisari, Jl. Kaliurang Km 13)",RUAS-002,987500.0,,988rb
KOS-002,KWS-06,nama_kos,1.0,Jalan Mendiro Raya,-7.707673188411348,110.41745740662206,Kost Exsklusif Dahayu (Jl. Mendiro Raya),RUAS-003,1200000.0,"Jl. Besi Jangkang, Gg. bougenvile",1200rb
KOS-003,KWS-06,pusat_kawasan,0.703,rata-rata kos lain di KWS-06,-7.70191399504237,110.4146666132785,Kos Dio putri ,RUAS-003,800000.0,"Jl. Besi Jangkang, Gg. bougenvile",800rb
KOS-004,KWS-06,manual,0.703,dikoreksi manual pemilik repo 2026-09-08,-7.70153421913326,110.41557456539688,Kost Green Villa,RUAS-001,600000.0,"Jl. Besi Jangkang, Gg. bougenvile",600rb
KOS-005,KWS-06,pusat_kawasan,0.703,rata-rata kos lain di KWS-06,-7.701371340241675,110.41531569704928,Kost Putri Annisa,RUAS-001,350000.0,"Jl. Besi Jangkang, Gg. bougenvile",350rb
KOS-006,KWS-06,pusat_kawasan,0.703,rata-rata kos lain di KWS-06,-7.701223058611471,110.4153884089702,Kost Putra Besi,RUAS-001,550000.0,"Jl. Besi Jangkang, Gg. bougenvile",550rb
KOS-007,KWS-06,ruas_terkait,0.857,Jalan Kaliurang,-7.698529422784081,110.40820540307028,Kost Putra SANTOSO,RUAS-007,625000.0,Jl. Kaliurang Km 13,625rb
KOS-008,KWS-11,pusat_kawasan,0.6,rata-rata kos lain di KWS-11,-7.755358831728386,110.38485313656156,Kost Putri Vidagarin,RUAS-008,1400000.0,"Gg. Pandega Rini I, Manggung, Caturtunggal",1400rb
KOS-009,KWS-11,ruas_terkait,1.0,Gang Pandega Maharsi,-7.754961358371837,110.3854865073925,Kost Putri Regulo 68,RUAS-011,1400000.0,JI. Pandega Maharsi,1400rb
KOS-010,KWS-04,ruas_terkait,1.0,Jalan Raya Tajem,-7.745197368060191,110.43410074217388,kos pondok durian,RUAS-012,1200000.0,Jl. Raya Tajem,1200rb
KOS-011,KWS-04,ruas_terkait,1.0,Jalan Raya Tajem,-7.753759338523158,110.43445629608442,Kos Vi-three,RUAS-012,775000.0,Jl. Raya Tajem,775rb
KOS-012,KWS-07,pusat_kawasan,0.632,rata-rata kos lain di KWS-07,-7.7657425852491935,110.39686422498367,Kost Exclusive Rukita,RUAS-022,1150000.0,"Gg. Pucung Baru 1, Depok",1150rb
KOS-013,KWS-08,ruas_terkait,0.75,Jalan Melati Wetan,-7.750639776492652,110.43559768444308,Kos Isvara,RUAS-029,1000000.0,Gg. Melati Jl. Tajem,1000rb
KOS-014,KWS-08,ruas_terkait,0.75,Jalan Melati Wetan,-7.750375103937482,110.43513470579737,Kos Aydin,RUAS-029,1350000.0,Gg. Melati Jl. Tajem,1350rb
KOS-015,KWS-08,ruas_terkait,1.0,Jalan Tajem Baru,-7.746151269285786,110.43796544890014,Kos Elisa Putri,RUAS-028,575000.0,Jl. Tajem Baru,575rb
KOS-016,KWS-03,ruas_terkait,0.833,Jalan Padjajaran,-7.761179531327189,110.40261324457526,Kost Nakula,RUAS-030,800000.0,Jl. Padjajaran depan UPN persis,800rb
KOS-017,KWS-12,ruas_terkait,1.0,Ring Road Utara,-7.769293524587602,110.43079826724866,Kos putri erry,RUAS-040,500000.0,jalan dalam sisi barat Jl. ring road utara,500rb
KOS-018,KWS-12,ruas_terkait,1.0,Ring Road Utara,-7.768886584712356,110.43049451929568,kost bu moyo,RUAS-040,450000.0,jalan dalam sisi barat Jl. ring road utara,450rb
KOS-019,KWS-03,ruas_terkait,1.0,Jalan UPN,-7.761625954126253,110.407377061845,Kost Putra Flamboyan,RUAS-034,700000.0,Jl. UPN,700rb
KOS-020,KWS-05,pusat_kawasan,0.0,rata-rata kos lain di KWS-05,-7.760012341747799,110.39559390957676,Kost Ibu Suratmi Suroso,,550000.0,,550rb
KOS-021,KWS-02,ruas_terkait,1.0,Jalan Janti,-7.794651961065154,110.40705563626877,Kost Mahasiswa Ulima,RUAS-083,625000.0,Jl. Raya Janti,625rb
KOS-022,KWS-02,ruas_terkait,1.0,Jalan Janti,-7.763315617052268,110.4129465433245,kos Putri Tiga Dara,RUAS-083,,Jl. Raya Janti,-
KOS-023,KWS-09,pusat_kawasan,0.0,rata-rata kos lain di KWS-09,-7.774059302412923,110.3988339301725,kost putri mulia sari,,700000.0,,700rb
KOS-024,KWS-10,ruas_terkait,0.944,Jalan Bandara Adisucipto,-7.784372753496714,110.43793474006782,Kost Soto Medan,RUAS-065,650000.0,Jl. Bandara Adisicipto,650rb
KOS-025,KWS-01,manual,0.0,Jalan Raya Janti,-7.786577028525326,110.41048850815136,Kost HM4,,,,-
KOS-026,KWS-01,manual,0.0,Jalan Janti,-7.786538813334483,110.41078858561532,Kost Putra Janti 54 Sleman,,500000.0,,500rb
KOS-027,KWS-07,pusat_kawasan,0.632,rata-rata kos lain di KWS-07,-7.760145095743693,110.40207042381792,Kos Setio,RUAS-024,1250000.0,"Gg. Pucung Baru 1, Depok",1250rb
